"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"18/01/2025";"0000";"23,3";"89,0";"930,5";"0,5";"200,0";"8,8";"";"32,7";"";""
"18/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"18/01/2025";"0600";"20,9";"96,0";"929,6";"0,5";"200,0";"7,5";"";"";"";""
"18/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"18/01/2025";"1200";"29,5";"57,0";"930,6";"6,7";"330,0";"8,8";"";"";"20,6";"1,0"
"18/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"18/01/2025";"1800";"32,7";"45,0";"928,0";"6,2";"310,0";"8,8";"";"";"";""
"18/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"19/01/2025";"0000";"24,9";"79,0";"929,5";"2,6";"80,0";"5,0";"";"31,3";"";""
"19/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"19/01/2025";"0600";"22,4";"91,0";"928,2";"2,6";"80,0";"0,0";"";"";"";""
"19/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"19/01/2025";"1200";"28,0";"64,0";"929,1";"0,0";"0,0";"5,0";"";"";"21,3";"0,0"
"19/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"19/01/2025";"1800";"31,1";"51,0";"926,4";"3,6";"300,0";"8,8";"";"";"";""
"19/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"20/01/2025";"0000";"25,3";"76,0";"927,8";"3,6";"60,0";"10,0";"";"32,6";"";""
"20/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"20/01/2025";"0600";"23,2";"80,0";"927,1";"3,6";"10,0";"3,8";"";"";"";""
"20/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"20/01/2025";"1200";"27,0";"62,0";"929,0";"5,1";"290,0";"5,0";"";"";"21,5";"0,0"
"20/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"20/01/2025";"1800";"";"";"";"";"";"";"";"";"";""
"20/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"21/01/2025";"0000";"27,9";"61,0";"926,6";"3,6";"320,0";"0,0";"";"32,6";"";""
"21/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"21/01/2025";"0600";"25,0";"71,0";"926,8";"4,1";"360,0";"1,3";"";"";"";""
"21/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"21/01/2025";"1200";"29,3";"56,0";"929,3";"4,6";"310,0";"7,5";"";"";"";"0,0"
"21/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"21/01/2025";"1800";"30,4";"50,0";"928,1";"5,7";"320,0";"8,8";"";"";"";""
"21/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"22/01/2025";"0000";"26,0";"71,0";"929,8";"1,0";"80,0";"2,5";"";"34,2";"";""
"22/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"22/01/2025";"0600";"21,3";"91,0";"929,7";"0,0";"0,0";"0,0";"";"";"";""
"22/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"22/01/2025";"1200";"27,4";"65,0";"932,2";"2,1";"90,0";"8,8";"";"";"21,2";"0,0"
"22/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"22/01/2025";"1800";"31,6";"54,0";"929,7";"5,7";"140,0";"6,3";"";"";"";""
"22/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"23/01/2025";"0000";"23,4";"89,0";"934,0";"2,6";"130,0";"6,3";"";"29,1";"";""
"23/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"23/01/2025";"0600";"22,0";"69,0";"930,6";"6,7";"320,0";"10,0";"";"";"";""
"23/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"23/01/2025";"1200";"24,6";"68,0";"932,8";"3,6";"170,0";"7,5";"";"";"20,7";"1,0"
"23/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"23/01/2025";"1800";"28,3";"62,0";"930,9";"3,6";"140,0";"7,5";"";"";"";""
"23/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"24/01/2025";"0000";"23,0";"85,0";"932,4";"1,0";"140,0";"5,0";"";"30,9";"";""
"24/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"24/01/2025";"0600";"21,2";"91,0";"931,9";"0,5";"200,0";"7,5";"";"";"";""
"24/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"24/01/2025";"1200";"24,3";"75,0";"932,4";"1,0";"40,0";"8,8";"";"";"20,4";"2,0"
"24/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"24/01/2025";"1800";"30,1";"52,0";"928,8";"2,6";"110,0";"8,8";"";"";"";""
"24/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"25/01/2025";"0000";"21,1";"96,0";"931,1";"1,0";"120,0";"7,5";"";"32,6";"";""
"25/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
